sigma_max_MPa,a_mm,N_cycles,dK_MPa_sqrt_m,dadN_m_per_cyc
80,15.98000,264312.772,27.9380,2.180661e-07
80,15.99125,264364.362,27.9618,2.186222e-07
80,16.00250,264415.821,27.9855,2.191797e-07
80,16.01375,264467.148,28.0093,2.197386e-07
80,16.02500,264518.346,28.0331,2.202990e-07
80,16.03625,264569.413,28.0569,2.208608e-07
80,16.04750,264620.350,28.0807,2.214240e-07
80,16.05875,264671.157,28.1046,2.219887e-07
80,16.07000,264721.835,28.1284,2.225547e-07
80,16.08125,264772.385,28.1523,2.231223e-07
80,16.09250,264822.806,28.1762,2.236913e-07
80,16.10375,264873.098,28.2002,2.242617e-07
80,16.11500,264923.263,28.2241,2.248336e-07
80,16.12625,264973.300,28.2481,2.254069e-07
80,16.13750,265023.210,28.2721,2.259817e-07
80,16.14875,265072.992,28.2961,2.265580e-07
80,16.16000,265122.648,28.3201,2.271357e-07
80,16.17125,265172.178,28.3442,2.277149e-07
80,16.18250,265221.582,28.3682,2.282956e-07
80,16.19375,265270.860,28.3923,2.288778e-07
80,16.20500,265320.013,28.4165,2.294615e-07
80,16.21625,265369.041,28.4406,2.300466e-07
80,16.22750,265417.944,28.4647,2.306333e-07
80,16.23875,265466.723,28.4889,2.312214e-07
80,16.25000,265515.378,28.5131,2.318111e-07
80,16.26125,265563.909,28.5373,2.324022e-07
80,16.27250,265612.316,28.5616,2.329949e-07
80,16.28375,265660.600,28.5858,2.335891e-07
80,16.29500,265708.762,28.6101,2.341848e-07
80,16.30625,265756.801,28.6344,2.347820e-07
80,16.31750,265804.718,28.6587,2.353808e-07
80,16.32875,265852.512,28.6831,2.359811e-07
80,16.34000,265900.186,28.7074,2.365829e-07
80,16.35125,265947.738,28.7318,2.371863e-07
80,16.36250,265995.169,28.7562,2.377912e-07
80,16.37375,266042.479,28.7807,2.383977e-07
80,16.38500,266089.669,28.8051,2.390057e-07
80,16.39625,266136.739,28.8296,2.396153e-07
80,16.40750,266183.690,28.8541,2.402265e-07
80,16.41875,266230.520,28.8786,2.408392e-07
80,16.43000,266277.232,28.9031,2.414535e-07
80,16.44125,266323.825,28.9277,2.420694e-07
80,16.45250,266370.299,28.9522,2.426869e-07
80,16.46375,266416.655,28.9768,2.433059e-07
80,16.47500,266462.893,29.0014,2.439265e-07
80,16.48625,266509.014,29.0261,2.445488e-07
80,16.49750,266555.017,29.0507,2.451726e-07
80,16.50875,266600.903,29.0754,2.457980e-07
80,16.52000,266646.672,29.1001,2.464251e-07
80,16.53125,266692.325,29.1249,2.470537e-07
80,16.54250,266737.862,29.1496,2.476840e-07
80,16.55375,266783.282,29.1744,2.483159e-07
80,16.56500,266828.588,29.1992,2.489494e-07
80,16.57625,266873.778,29.2240,2.495846e-07
80,16.58750,266918.852,29.2488,2.502214e-07
80,16.59875,266963.813,29.2737,2.508598e-07
80,16.61000,267008.658,29.2985,2.514999e-07
80,16.62125,267053.390,29.3234,2.521416e-07
80,16.63250,267098.008,29.3484,2.527850e-07
80,16.64375,267142.512,29.3733,2.534300e-07
