disp_um,force_N,crack_length,net_growth,cmod_um,tortuosity,n_branch,n_segment,tip_x,tip_y,direction_deg,K_I,K_c,growth_rate,initiated,severity,unstable
2.3000,308.4386,0.63950,0.09736,2.44579,0.9737,0,1,0.5067,0.4985,-13.03,1124.194,789.353,29.1199,1,light,0
2.3500,314.7091,0.64094,0.09880,2.49863,0.9737,0,1,0.5067,0.4984,-13.55,1147.049,789.353,28.3836,1,light,0
2.4000,320.9661,0.64234,0.10020,2.55145,0.9737,0,1,0.5067,0.4983,-14.06,1169.854,789.353,27.5588,1,light,0
2.4500,327.2215,0.64369,0.10155,2.60427,0.9737,0,1,0.5067,0.4983,-14.54,1192.654,789.353,26.9434,1,light,0
2.5000,333.4472,0.64503,0.10289,2.65709,0.9737,0,1,0.5067,0.4982,-15.04,1215.345,789.353,26.5559,1,light,0
2.5500,339.6534,0.64635,0.10421,2.70991,0.9737,0,1,0.5067,0.4981,-15.53,1237.966,789.353,26.0740,1,light,0
2.6000,345.8398,0.64764,0.10550,2.76274,0.9868,0,1,0.5067,0.4981,-16.01,1260.514,789.353,25.6242,1,light,0
2.6500,352.0053,0.64891,0.10677,2.81558,0.9868,0,1,0.5067,0.4980,-16.48,1282.986,789.353,25.2187,1,light,0
2.7000,358.1489,0.65016,0.10802,2.86843,0.9868,0,1,0.5067,0.4980,-16.95,1305.378,789.353,24.8569,1,light,0
2.7500,364.2695,0.65140,0.10926,2.92130,0.9868,0,1,0.5067,0.4979,-17.41,1327.686,789.353,24.5363,1,light,0
2.8000,370.3661,0.65262,0.11048,2.97418,0.9868,0,1,0.5067,0.4979,-17.86,1349.907,789.353,24.2548,1,light,0
2.8500,376.4377,0.65382,0.11168,3.02708,0.9868,0,1,0.5067,0.4978,-18.30,1372.037,789.353,24.0109,1,light,0
2.9000,382.4835,0.65502,0.11288,3.07999,0.9868,0,1,0.5067,0.4977,-18.74,1394.072,789.353,23.8033,1,light,0
2.9500,388.5026,0.65620,0.11406,3.13292,0.9868,0,1,0.5067,0.4977,-19.17,1416.011,789.353,23.6308,1,light,0
3.0000,394.4941,0.65738,0.11524,3.18587,0.9868,0,1,0.5067,0.4976,-19.59,1437.849,789.353,23.4924,1,light,0
3.0500,400.4573,0.65855,0.11641,3.23884,0.9868,0,1,0.5067,0.4976,-20.01,1459.583,789.353,23.3875,1,light,0
3.1000,406.3913,0.65972,0.11758,3.29182,0.9740,0,1,0.5133,0.4973,-11.41,1524.323,789.353,23.3154,1,light,0
3.1500,412.2954,0.66088,0.11875,3.34482,0.9610,0,1,0.5133,0.4973,-11.65,1546.469,789.353,23.2753,1,light,0
3.2000,418.1687,0.66205,0.11991,3.39783,0.9610,0,1,0.5133,0.4972,-11.89,1568.499,789.353,23.2669,1,light,0
3.2500,424.0105,0.66321,0.12107,3.45086,0.9610,0,1,0.5133,0.4971,-12.13,1590.411,789.353,23.2896,1,light,0
3.3000,429.8199,0.66438,0.12224,3.50391,0.9610,0,1,0.5133,0.4971,-12.36,1612.201,789.353,23.3453,1,light,0
3.3500,435.5963,0.66554,0.12341,3.55696,0.9610,0,1,0.5133,0.4970,-12.60,1633.867,789.353,23.4334,1,light,0
